nohup: ignoring input
('==== Found maximium gradient [0.28336477, 0.28336474, 0.28336474] of gate '
 'RY[0], e^[X6 Y0], e^[X8 Y0] ====')
learning rate =  0.05667294941915734
0.0021868789505724347 0.0021868789505724347 0.051002826541662216
0.002223425109562403 0.002223425109562403 0.05548141151666641
0.0021373607044635574 0.0021373607044635574 0.053362034261226654
0.001935956874264107 0.001935956874264107 0.04168415069580078
0.0017549069089477939 0.0017549069089477939 0.026097074151039124
0.001701585431411076 0.001701585431411076 0.02183884009718895
0.0017631805862973334 0.0017631805862973334 0.032468900084495544
0.0018313526101987024 0.0018313526101987024 0.04055178537964821
0.0018202822564836164 0.0018202822564836164 0.040528155863285065
0.0017370047281782836 0.0017370047281782836 0.033714983612298965
0.0016488147107264234 0.0016488147107264234 0.025053473189473152
0.0016063441394443688 0.0016063441394443688 0.021572362631559372
0.0016071662744876515 0.0016071662744876515 0.023794665932655334
0.0016147729872243535 0.0016147729872243535 0.02491830103099346
